S2A_MSIL2A_20170613T101031_33_49,Finland
S2A_MSIL2A_20170704T112111_42_57,Portugal
S2B_MSIL2A_20180525T94030_76_45,Finland
S2B_MSIL2A_20180515T112109_61_57,Portugal
S2B_MSIL2A_20171206T094349_89_10,Serbia
S2B_MSIL2A_20180204T094159_7_25,Finland
S2A_MSIL2A_20171002T094031_87_84,Serbia
S2B_MSIL2A_20171016T101009_73_46,Finland
S2B_MSIL2A_20171226T094359_62_85,Serbia
S2B_MSIL2A_20170825T093029_57_54,Serbia
S2B_MSIL2A_20180515T112109_88_11,Portugal
S2A_MSIL2A_20180430T094031_80_29,Serbia
S2A_MSIL2A_20180430T094031_86_35,Serbia
S2B_MSIL2A_20180417T102019_85_82,Finland
S2B_MSIL2A_20171206T094349_46_5,Serbia
S2A_MSIL2A_20180430T094031_81_84,Serbia
S2A_MSIL2A_20180419T101031_18_64,Finland
S2A_MSIL2A_20171121T112351_10_70,Portugal
S2A_MSIL2A_20170827T092031_21_88,Serbia
S2B_MSIL2A_20180525T094029_83_10,Finland
S2A_MSIL2A_20170704T112111_33_75,Portugal
S2B_MSIL2A_20170716T093039_0_76,Finland
S2B_MSIL2A_20180515T094029_44_36,Finland
S2B_MSIL2A_20180515T112109_89_40,Portugal
S2B_MSIL2A_20170914T093029_26_28,Serbia
S2B_MSIL2A_20170914T93030_23_73,Serbia
S2A_MSIL2A_20170813T112121_47_44,Portugal
S2A_MSIL2A_20171002T112112_3_59,Portugal
S2A_MSIL2A_20171002T094031_82_53,Serbia
S2B_MSIL2A_20180422T093029_64_74,Serbia
S2A_MSIL2A_20170701T093031_44_27,Finland
S2B_MSIL2A_20180224T112109_48_86,Portugal
S2B_MSIL2A_20180224T112109_18_3,Portugal
S2A_MSIL2A_20170704T112111_52_83,Portugal
S2B_MSIL2A_20180515T112109_27_48,Portugal
S2B_MSIL2A_20171206T094349_90_0,Serbia
S2B_MSIL2A_20180525T94031_34_27,Finland
S2A_MSIL2A_20170803T094031_83_9,Serbia
S2B_MSIL2A_20170825T093029_57_63,Serbia
S2A_MSIL2A_20171201T112431_85_17,Portugal
S2A_MSIL2A_20171208T093351_67_50,Serbia
S2B_MSIL2A_20180515T112110_14_62,Portugal
S2B_MSIL2A_20170914T93030_31_77,Serbia
S2B_MSIL2A_20180515T112109_89_51,Portugal
S2A_MSIL2A_20171201T112431_69_20,Portugal
S2B_MSIL2A_20180515T112109_53_28,Portugal
S2B_MSIL2A_20171206T094349_89_38,Serbia
S2B_MSIL2A_20180525T94030_61_3,Finland
S2B_MSIL2A_20170830T102019_58_90,Finland
S2B_MSIL2A_20180515T112109_35_65,Portugal
S2B_MSIL2A_20180515T112109_41_6,Portugal
S2B_MSIL2A_20170716T093039_8_81,Finland
S2A_MSIL2A_20170827T092031_4_50,Serbia
S2A_MSIL2A_20171002T094031_59_52,Serbia
S2A_MSIL2A_20170905T95032_11_39,Finland
S2A_MSIL2A_20171002T094031_84_44,Serbia
S2A_MSIL2A_20171208T093351_54_63,Serbia
S2B_MSIL2A_20170725T100029_10_67,Finland
S2B_MSIL2A_20180502T093039_52_20,Serbia
S2A_MSIL2A_20170803T094031_64_21,Serbia
S2B_MSIL2A_20180515T112109_88_1,Portugal
S2B_MSIL2A_20170914T93030_44_46,Serbia
S2B_MSIL2A_20180515T112109_55_87,Portugal
S2B_MSIL2A_20180201T093219_29_72,Serbia
S2B_MSIL2A_20171016T101009_70_79,Finland
S2B_MSIL2A_20171206T094349_76_34,Serbia
S2B_MSIL2A_20170914T093029_54_71,Serbia
S2B_MSIL2A_20170914T093029_19_52,Serbia
S2B_MSIL2A_20180515T094029_44_70,Finland
S2B_MSIL2A_20180515T112109_9_7,Portugal
S2B_MSIL2A_20171206T094349_37_54,Serbia
S2A_MSIL2A_20170905T095031_61_18,Finland
S2B_MSIL2A_20180515T094029_81_30,Finland
S2B_MSIL2A_20180326T112109_80_68,Portugal
S2A_MSIL2A_20171002T94032_55_87,Serbia
S2B_MSIL2A_20180515T112110_40_55,Portugal
S2A_MSIL2A_20170803T094031_83_53,Serbia
S2A_MSIL2A_20170803T094031_85_36,Serbia
S2B_MSIL2A_20180515T112109_3_35,Portugal
S2B_MSIL2A_20180515T112109_11_29,Portugal
S2A_MSIL2A_20180430T094031_60_18,Serbia
S2A_MSIL2A_20180526T100031_80_53,Finland
S2B_MSIL2A_20171206T094349_47_84,Serbia
S2B_MSIL2A_20170914T093029_21_60,Serbia
S2B_MSIL2A_20180515T112109_82_45,Portugal
S2A_MSIL2A_20170704T112111_28_77,Portugal
S2B_MSIL2A_20180515T112109_41_47,Portugal
